project,language,loc,features,variability_impl_technology,method,recall,precision,fmeasure,performance
sylpheed-3.5.1,c,119488,296,preprocessor,SVM,0.8783783783783784,0.3668956456390866,0.5175940331764748,222.17746210098267
sylpheed-3.5.1,c,119488,296,preprocessor,SGD,0.9512195121951219,0.8343495934959348,0.8889598400821799,0.03509783744812012
subversion-1.9.5,c,156778,280,preprocessor,SVM,0.9166666666666666,0.1269220571915695,0.22297139942665126,566.193500995636
subversion-1.9.5,c,156778,280,preprocessor,SGD,0.9030612244897959,0.6520954810495626,0.7573283663354617,0.09112381935119629
vim-7.4,c,304992,1050,preprocessor,SVM,0.6840901091165081,0.30067492180268623,0.4177417629718314,462.6531310081482
vim-7.4,c,304992,1050,preprocessor,SGD,0.813973063973064,0.7333333333333333,0.7715518804627715,0.08005595207214355
irssi-1.0.3,c,55138,159,preprocessor,SVM,0.8333333333333334,0.3118967768979502,0.4539069981242481,126.03869867324829
irssi-1.0.3,c,55138,159,preprocessor,SGD,0.9583333333333334,0.875,0.9147727272727273,0.01940298080444336
libxml2-2.9.3,c,242524,2171,preprocessor,SVM,0.9158939319993492,0.3084109757662075,0.4614401845073034,861.9589591026306
libxml2-2.9.3,c,242524,2171,preprocessor,SGD,0.7906137184115524,0.6403128760529483,0.7075696906345758,0.15134477615356445
lynx-2.8.9,c,132804,912,preprocessor,SVM,0.8049353701527615,0.28314158479699436,0.418923818443949,485.66100788116455
lynx-2.8.9,c,132804,912,preprocessor,SGD,0.7774294670846394,0.7452978056426333,0.7610246250102853,0.07907509803771973
openldap-2.4.45,c,285946,951,preprocessor,SVM,0.899890590809628,0.19221329783845745,0.31676645409153714,1572.0373539924622
openldap-2.4.45,c,285946,951,preprocessor,SGD,0.8733719247467439,0.701151425355477,0.7778429832264856,0.2383730411529541
parrot-4.6.2,c,101507,413,preprocessor,SVM,0.837696335078534,0.4421689596420584,0.5788160965150685,129.24772191047668
parrot-4.6.2,c,101507,413,preprocessor,SGD,0.941747572815534,0.859546925566343,0.8987716684865462,0.01801586151123047
sendmail-8.15.2,c,93613,961,preprocessor,SVM,0.8284358390280941,0.3566709039339194,0.49865374796348855,574.3935160636902
sendmail-8.15.2,c,93613,961,preprocessor,SGD,0.7962707182320442,0.7011510128913445,0.7456897532871605,0.09191417694091797
gnumeric-1.8.4,c,248311,506,preprocessor,SVM,0.8895966029723992,0.31876188074102496,0.469346622027045,668.8779120445251
gnumeric-1.8.4,c,248311,506,preprocessor,SGD,0.9393939393939394,0.8481503345139711,0.8914434126943623,0.1020960807800293
openvpn-2.4.3,c,79189,466,preprocessor,SVM,0.7775280898876404,0.15389804836408774,0.25693944085907844,236.22784614562988
openvpn-2.4.3,c,79189,466,preprocessor,SGD,0.6942148760330579,0.6182605273514364,0.6540399221876665,0.038391828536987305
