project,language,files,loc,features,variability_impl_technology,method,recall,precision,fmeasure,performance
dragonflybsd,c,1819,1949669,103,preprocessor,BM25,0.8055407718643014,0.20598370019258636,0.3280756391532347,40870.5671479702
dragonflybsd,c,1819,1949669,103,preprocessor,Neural networks,0.5596813371813371,0.28714323196006,0.3795560825282176,110542.22245883942
dragonflybsd,c,1819,1949669,103,preprocessor,Classic vector model,0.5914832031354523,0.15790210549617242,0.24926147354356276,41567.309848070145
dragonflybsd,c,1819,1949669,103,preprocessor,Extended boolean,0.525006961849067,0.3799288058510451,0.44083851075030617,109402.46931195259
netbsd,c,2809,2008555,330,preprocessor,BM25,0.8666670895226847,0.21397157070913359,0.3432083734396494,269485.9791741371
netbsd,c,2809,2008555,330,preprocessor,Neural networks,0.65266671985422,0.3161648483744716,0.4259776028955003,374586.24850797653
netbsd,c,2809,2008555,330,preprocessor,Classic vector model,0.7366934021627092,0.18344435439925585,0.2937435065264135,268405.7594912052
netbsd,c,2809,2008555,330,preprocessor,Extended boolean,0.6653427708163715,0.3595056824375892,0.4667900041568058,375300.4529399872
freebsd,c,2512,2872915,177,preprocessor,BM25,0.8345096770769204,0.2656225848419255,0.4029781239469256,155177.73388195038
freebsd,c,2512,2872915,177,preprocessor,Neural networks,0.6490634191614583,0.37711088637197776,0.47705127675042674,268286.54205203056
freebsd,c,2512,2872915,177,preprocessor,Classic vector model,0.7075984627852395,0.23067450023040617,0.34792630332686464,153408.07399511337
freebsd,c,2512,2872915,177,preprocessor,Extended boolean,0.643124058450556,0.4219704724423399,0.5095873744763517,267886.04412794113
openbsd,c,3231,1556157,299,preprocessor,BM25,0.8836117898170289,0.17343479627869626,0.2899570043027271,421162.54284596443
openbsd,c,3231,1556157,299,preprocessor,Neural networks,0.6480766213235727,0.3602907444357734,0.463116947804549,545653.613711834
openbsd,c,3231,1556157,299,preprocessor,Classic vector model,0.6231839593252521,0.15427820368781386,0.24732702473687782,421975.72701597214
openbsd,c,3231,1556157,299,preprocessor,Extended boolean,0.6112036396423433,0.3729728444895832,0.4632550436131598,545767.4578089714
dragonflybsd,c,1819,1949669,103,preprocessor,SVM,0.675068687541023,0.2245980931423947,0.3370562150726022,1374.8246908187866
dragonflybsd,c,1819,1949669,103,preprocessor,SGD,0.6982530290222597,0.5905124036345756,0.6398791650751073,0.15419292449951172
freebsd,c,2512,2872915,177,preprocessor,SVM,0.757448309654192,0.2965812749166763,0.42625935485896704,2205.476408958435
freebsd,c,2512,2872915,177,preprocessor,SGD,0.6367687380845276,0.5247696687118958,0.5753695577786871,0.34724903106689453
netbsd,c,2809,2008555,330,preprocessor,SVM,0.7651892013155391,0.25438264485724327,0.38182861478083957,3609.6539583206177
netbsd,c,2809,2008555,330,preprocessor,SGD,0.6291213401373936,0.5012463710580555,0.5579508076456788,0.5831170082092285
openbsd,c,3231,1556157,299,preprocessor,SVM,0.7835851058959178,0.24506386534583108,0.3733603984388689,2879.2590839862823
openbsd,c,3231,1556157,299,preprocessor,SGD,0.5068871856267709,0.5069479814070151,0.5069175816940489,0.4174690246582031
