project,language,loc,features,variability_impl_technology,method,recall,precision,fmeasure,performance
dragonflybsd,c,1949669,103,preprocessor,SVM,0.675068687541023,0.2245980931423947,0.3370562150726022,595.2383930683136
freebsd,c,2872915,177,preprocessor,SVM,0.757448309654192,0.2965812749166763,0.42625935485896704,1294.0479238033295
netbsd,c,2008555,330,preprocessor,SVM,0.7651892013155391,0.25438264485724327,0.38182861478083957,2339.782147884369
openbsd,c,1556157,299,preprocessor,SVM,0.7835851058959178,0.24506386534583108,0.3733603984388689,3008.2497861385345
privoxy-3.0.26,c,30687,168,preprocessor,SVM,0.8454987834549877,0.38276123319003713,0.5269635950535656,31.6446270942688
privoxy-3.0.26,c,30687,168,preprocessor,SGD,0.75,0.75,0.75,0.0034422874450683594
lighttpd-1.4.35,c,40035,216,preprocessor,SVM,0.7150259067357513,0.30253750226239384,0.4251767505864234,110.1117992401123
lighttpd-1.4.35,c,40035,216,preprocessor,SGD,0.7619047619047619,0.7043650793650793,0.7320059282170243,0.013123035430908203
xfig-3.2.6,c,73143,162,preprocessor,SVM,0.8848920863309353,0.5474220785380074,0.6764011374912823,163.24971914291382
xfig-3.2.6,c,73143,162,preprocessor,SGD,0.9056603773584906,0.8349056603773584,0.8688449148642429,0.014747142791748047
xterm-3.3.0,c,71817,551,preprocessor,SVM,0.7964203233256352,0.5431753637256548,0.6458603935238594,114.55020904541016
xterm-3.3.0,c,71817,551,preprocessor,SGD,0.8571428571428571,0.8333333333333334,0.8450704225352113,0.015636920928955078
cherokee-1.2.103,c,61182,432,preprocessor,SVM,0.9519704433497537,0.17517468413317555,0.29590000018952806,485.79324865341187
cherokee-1.2.103,c,61182,432,preprocessor,SGD,0.9324894514767933,0.7735583684950773,0.8456211019163005,0.06329178810119629
emacs-25.2,c,50294,374,preprocessor,SVM,0.9082612872238233,0.3157580920976193,0.46860508260728684,241.73274493217468
emacs-25.2,c,50294,374,preprocessor,SGD,0.9384615384615385,0.8777777777777778,0.9071058823529412,0.028568029403686523
berkeley_db-5.3.21,c,137037,361,preprocessor,SVM,0.8953846153846153,0.29738333627248337,0.4464782337590509,469.3291440010071
berkeley_db-5.3.21,c,137037,361,preprocessor,SGD,0.845771144278607,0.7043946932006633,0.7686360920724008,0.07561326026916504
dia_0.97.3,c,154962,291,preprocessor,SVM,0.9330855018587361,0.14338450945427872,0.24857173085523335,550.2531859874725
dia_0.97.3,c,154962,291,preprocessor,SGD,0.9230769230769231,0.7840048840048841,0.8478759635329266,0.18588900566101074
gnuplot-4.4.2,c,79123,490,preprocessor,SVM,0.8549883990719258,0.4461029130528856,0.5862967677949122,282.8006970882416
gnuplot-4.4.2,c,79123,490,preprocessor,SGD,0.8838383838383839,0.8350168350168349,0.8587342573630526,0.03528118133544922
sqlite-3.19.3,c,267156,571,preprocessor,SVM,0.8675496688741722,0.45027068222432465,0.5928458775763189,19.523327112197876
sqlite-3.19.3,c,267156,571,preprocessor,SGD,0,0,0,0.002820730209350586
dragonflybsd,c,1949669,103,preprocessor,SGD,0.6837333718912667,0.5890337567775648,0.6328605250836838,0.07002806663513184
freebsd,c,2872915,176,preprocessor,SGD,0.6172002894225117,0.5528318426135884,0.5832454749243751,0.20440292358398438
netbsd,c,2008555,330,preprocessor,SGD,0.20205282613034695,0.5215423017580777,0.2912653553217258,0.3787081241607666
openbsd,c,1556157,298,preprocessor,SGD,0.5074751955888046,0.5082505660041388,0.5078625848508023,0.513016939163208
