project,language,files,loc,features,variability_impl_technology,method,recall,precision,fmeasure,performance
dragonflybsd,c,1819,1949669,103,preprocessor,trace2vary,0.6837333718912667,0.5890337567775648,0.6328605250836838,0.07002806663513184
freebsd,c,2512,2872915,176,preprocessor,trace2vary,0.6172002894225117,0.5528318426135884,0.5832454749243751,0.20440292358398438
netbsd,c,2809,2008555,330,preprocessor,trace2vary,0.20205282613034695,0.5215423017580777,0.2912653553217258,0.3787081241607666
openbsd,c,3231,1556157,298,preprocessor,trace2vary,0.5074751955888046,0.5082505660041388,0.5078625848508023,0.513016939163208
dragonflybsd,c,1819,1949669,103,preprocessor,BM25,0.8055407718643014,0.20598370019258636,0.3280756391532347,40870.5671479702
dragonflybsd,c,1819,1949669,103,preprocessor,Neural networks,0.5596813371813371,0.28714323196006,0.3795560825282176,110542.22245883942
dragonflybsd,c,1819,1949669,103,preprocessor,Classic vector model,0.5914832031354523,0.15790210549617242,0.24926147354356276,41567.309848070145
dragonflybsd,c,1819,1949669,103,preprocessor,Extended boolean,0.525006961849067,0.3799288058510451,0.44083851075030617,109402.46931195259
netbsd,c,2809,2008555,330,preprocessor,BM25,0.8666670895226847,0.21397157070913359,0.3432083734396494,269485.9791741371
netbsd,c,2809,2008555,330,preprocessor,Neural networks,0.65266671985422,0.3161648483744716,0.4259776028955003,374586.24850797653
netbsd,c,2809,2008555,330,preprocessor,Classic vector model,0.7366934021627092,0.18344435439925585,0.2937435065264135,268405.7594912052
netbsd,c,2809,2008555,330,preprocessor,Extended boolean,0.6653427708163715,0.3595056824375892,0.4667900041568058,375300.4529399872
freebsd,c,2512,2872915,177,preprocessor,BM25,0.8345096770769204,0.2656225848419255,0.4029781239469256,155177.73388195038
freebsd,c,2512,2872915,177,preprocessor,Neural networks,0.6490634191614583,0.37711088637197776,0.47705127675042674,268286.54205203056
freebsd,c,2512,2872915,177,preprocessor,Classic vector model,0.7075984627852395,0.23067450023040617,0.34792630332686464,153408.07399511337
freebsd,c,2512,2872915,177,preprocessor,Extended boolean,0.643124058450556,0.4219704724423399,0.5095873744763517,267886.04412794113
openbsd,c,3231,1556157,299,preprocessor,BM25,0.8836117898170289,0.17343479627869626,0.2899570043027271,421162.54284596443
openbsd,c,3231,1556157,299,preprocessor,Neural networks,0.6480766213235727,0.3602907444357734,0.463116947804549,545653.613711834
openbsd,c,3231,1556157,299,preprocessor,Classic vector model,0.6231839593252521,0.15427820368781386,0.24732702473687782,421975.72701597214
openbsd,c,3231,1556157,299,preprocessor,Extended boolean,0.6112036396423433,0.3729728444895832,0.4632550436131598,545767.4578089714
sylpheed-3.5.1,c,303,119488,296,preprocessor,trace2vary,0.9512195121951219,0.8343495934959348,0.8889598400821799,0.035813093185424805
