projectandfeature,methodname,totaltraces,truetraces,precision,recall
dragonflybsd-_libc,BM25,777,21,0.011583011583011582,0.42857142857142855
dragonflybsd-no_fw_punch,BM25,68,7,0.10294117647058823,1.0
dragonflybsd-netidlen,BM25,2,2,1.0,1.0
dragonflybsd-ns_caching,BM25,18,12,0.5,0.75
dragonflybsd-with_ssl,BM25,56,4,0.07142857142857142,1.0
dragonflybsd-have_stropts_h,BM25,334,2,0.005988023952095809,1.0
dragonflybsd-hesiod,BM25,8,3,0.375,1.0
dragonflybsd-_pthreads_debugging,BM25,42,5,0.0,0.0
dragonflybsd-shell,BM25,70,3,0.02857142857142857,0.6666666666666666
dragonflybsd-nomd5,BM25,1,5,1.0,0.2
dragonflybsd-portmap,BM25,9,6,0.6666666666666666,1.0
dragonflybsd-debug_signal,BM25,295,2,0.006779661016949152,1.0
dragonflybsd-inet6,BM25,44,14,0.29545454545454547,0.9285714285714286
dragonflybsd-_posix_pthread_semantics,BM25,376,6,0.015957446808510637,1.0
dragonflybsd-notdef,BM25,1,9,1.0,0.1111111111111111
dragonflybsd-lint,BM25,69,25,0.34782608695652173,0.96
dragonflybsd-sysv_sems,BM25,36,3,0.08333333333333333,1.0
dragonflybsd-_sys_fcntl_h_,BM25,731,3,0.004103967168262654,1.0
dragonflybsd-test,BM25,119,4,0.03361344537815126,1.0
dragonflybsd-encryption,BM25,30,8,0.26666666666666666,1.0
dragonflybsd-maxhostnamelen,BM25,34,2,0.058823529411764705,1.0
dragonflybsd-clnt_debug,BM25,207,2,0.00966183574879227,1.0
dragonflybsd-whistle,BM25,12,2,0.16666666666666666,1.0
dragonflybsd-_netgraph_h_,BM25,11,2,0.18181818181818182,1.0
dragonflybsd-yp,BM25,849,18,0.02120141342756184,1.0
dragonflybsd-support_dhcp,BM25,231,2,0.008658008658008658,1.0
dragonflybsd-ipv6_portrange,BM25,29,2,0.06896551724137931,1.0
dragonflybsd-zallocdebug,BM25,1,2,0.0,0.0
dragonflybsd-use_poll,BM25,51,2,0.0392156862745098,1.0
dragonflybsd-debug_thread_kern,BM25,531,2,0.003766478342749529,1.0
dragonflybsd-__i386__,BM25,6,3,0.0,0.0
dragonflybsd-max,BM25,612,3,0.004901960784313725,1.0
dragonflybsd-words_bigendian,BM25,47,3,0.06382978723404255,1.0
dragonflybsd-sra,BM25,27,3,0.1111111111111111,1.0
dragonflybsd-_sys_event_h_,BM25,895,2,0.0022346368715083797,1.0
dragonflybsd-_unistd_h_,BM25,414,2,0.0024154589371980675,0.5
dragonflybsd-statistics,BM25,13,6,0.15384615384615385,0.3333333333333333
dragonflybsd-rpc_debug,BM25,252,2,0.007936507936507936,1.0
dragonflybsd-pic,BM25,53,8,0.09433962264150944,0.625
dragonflybsd-authentication,BM25,42,4,0.047619047619047616,0.5
dragonflybsd-tm_gmtoff,BM25,349,3,0.008595988538681949,1.0
dragonflybsd-solaris2,BM25,2,2,1.0,1.0
dragonflybsd-unix,BM25,69,3,0.043478260869565216,1.0
dragonflybsd-krb4_encpwd,BM25,4,2,0.5,1.0
dragonflybsd-__extensions__,BM25,23,6,0.2608695652173913,1.0
dragonflybsd-testing,BM25,8,3,0.125,0.3333333333333333
dragonflybsd-net_debug,BM25,678,2,0.0029498525073746312,1.0
dragonflybsd-sysv_rwlock,BM25,62,5,0.08064516129032258,1.0
dragonflybsd-maxnamlen,BM25,7,2,0.2857142857142857,1.0
dragonflybsd-fts_whiteout,BM25,28,2,0.07142857142857142,1.0
dragonflybsd-des,BM25,654,2,0.0030581039755351682,1.0
dragonflybsd-_lock_debug,BM25,537,2,0.0037243947858473,1.0
dragonflybsd-_st_fsmid_present_,BM25,159,3,0.018867924528301886,1.0
dragonflybsd-has_inet6_structs,BM25,396,2,0.005050505050505051,1.0
dragonflybsd-_gnu_source,BM25,50,6,0.12,1.0
dragonflybsd-locale_debug,BM25,336,3,0.008928571428571428,1.0
dragonflybsd-debug_malloc,BM25,456,2,0.0043859649122807015,1.0
dragonflybsd-__linux__,BM25,19,3,0.10526315789473684,0.6666666666666666
dragonflybsd-_kernel,BM25,106,6,0.018867924528301886,0.3333333333333333
dragonflybsd-hash_statistics,BM25,126,4,0.031746031746031744,1.0
dragonflybsd-nelements,BM25,2,2,1.0,1.0
dragonflybsd-__x86_64__,BM25,247,2,0.0,0.0
dragonflybsd-colorls,BM25,3,5,0.6666666666666666,0.4
dragonflybsd-boot2,BM25,2,2,1.0,1.0
dragonflybsd-tm_zone,BM25,366,2,0.00546448087431694,1.0
dragonflybsd-__gnuc__,BM25,6,6,0.6666666666666666,0.6666666666666666
dragonflybsd-yydebug,BM25,3,2,0.6666666666666666,1.0
